sample	layout	read	remote_relpath	url	md5	bytes
ERR3305549	SE	R1	fastq_public/near_east_ancient/ERR3305549.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/009/ERR3305549/ERR3305549.fastq.gz	205ebeba14877e33b9edfd0fe48c1bb5	268770994
ERR3305550	SE	R1	fastq_public/near_east_ancient/ERR3305550.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/000/ERR3305550/ERR3305550.fastq.gz	7a233ccfbf4fdb600b32e0fd156eae5c	659626480
ERR3305552	SE	R1	fastq_public/near_east_ancient/ERR3305552.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/002/ERR3305552/ERR3305552.fastq.gz	aa237bed648f14c6494c08e8aa35724f	2231940270
ERR3305553	SE	R1	fastq_public/near_east_ancient/ERR3305553.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/003/ERR3305553/ERR3305553.fastq.gz	50eb5f3b50e6cfd294fe6ba59c072932	2364427661
ERR3305574	SE	R1	fastq_public/near_east_ancient/ERR3305574.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/004/ERR3305574/ERR3305574.fastq.gz	1348eb213f6b9158023b3c6d9d7157a7	3452531638
ERR3305579	SE	R1	fastq_public/near_east_ancient/ERR3305579.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/009/ERR3305579/ERR3305579.fastq.gz	fd0a9e2ff68e8fc461704585ce4bd470	1391948765
ERR3305580	SE	R1	fastq_public/near_east_ancient/ERR3305580.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/000/ERR3305580/ERR3305580.fastq.gz	71fa4233199046693e03ca60d6ae4b66	418949709
ERR3305583	SE	R1	fastq_public/near_east_ancient/ERR3305583.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/003/ERR3305583/ERR3305583.fastq.gz	17a54188e7f8cf7491b0e7f8d90e0227	1025830612
ERR3305584	SE	R1	fastq_public/near_east_ancient/ERR3305584.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/004/ERR3305584/ERR3305584.fastq.gz	28f6880091f2ff4672c6837335bfd0cf	2304226011
ERR3317250	SE	R1	fastq_public/near_east_ancient/ERR3317250.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/000/ERR3317250/ERR3317250.fastq.gz	d62826897dde37fc493dc735346ff435	27812791
