run_accession	biological_sample_id	layout	read1	read2	source	group	sample_title	read1_bytes	read2_bytes	read1_md5	read2_md5
ERR12893503	SAMEA115481004	SE	fastq_trimmed/ERR12893503.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	2665169793	0	.	.
ERR12893508	SAMEA115481004	SE	fastq_trimmed/ERR12893508.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	3148612478	0	.	.
ERR12893514	SAMEA115481004	SE	fastq_trimmed/ERR12893514.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	3378045794	0	.	.
ERR12893517	SAMEA115481004	SE	fastq_trimmed/ERR12893517.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	2894260949	0	.	.
ERR12893518	SAMEA115481004	SE	fastq_trimmed/ERR12893518.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	3043724779	0	.	.
ERR12893520	SAMEA115481004	SE	fastq_trimmed/ERR12893520.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	3233729555	0	.	.
ERR12893546	SAMEA115481004	SE	fastq_trimmed/ERR12893546.trim.fastq.gz	.	existing_trimmed	Aurochs_Mesolithic	Ancient Aurochs	13614697474	0	.	.
SRR2464109	SAMN04028906	SE	fastq_public/UK_aurochs/SRR2464109.fastq.gz	.	public_fastq	Aurochs_UK	a male Bos primigenius archaeological specimen from the United Kingdom	106802718	0	44d8cd28535256fe1a55ff5c5d1deea9	.
SRR2464112	SAMN04028906	SE	fastq_trimmed/SRR2464112.trim.fastq.gz	.	existing_trimmed	Aurochs_UK	a male Bos primigenius archaeological specimen from the United Kingdom	3485534595	0	.	.
SRR2465352	SAMN04028906	SE	fastq_trimmed/SRR2465352.trim.fastq.gz	.	existing_trimmed	Aurochs_UK	a male Bos primigenius archaeological specimen from the United Kingdom	5963865434	0	.	.
ERR3305577	SAMEA5577397	SE	fastq_trimmed/ERR3305577.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tmq1	226271660	0	.	.
ERR3305578	SAMEA5577398	SE	fastq_trimmed/ERR3305578.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tmq2	157337790	0	.	.
ERR3305579	SAMEA5577399	SE	fastq_public/near_east_ancient/ERR3305579.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tmq3	1391948765	0	fd0a9e2ff68e8fc461704585ce4bd470	.
ERR3305580	SAMEA5577400	SE	fastq_public/near_east_ancient/ERR3305580.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tmq4	418949709	0	71fa4233199046693e03ca60d6ae4b66	.
ERR3305581	SAMEA5577401	SE	fastq_trimmed/ERR3305581.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tqa1	105143811	0	.	.
ERR3305582	SAMEA5577402	SE	fastq_trimmed/ERR3305582.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tqa2	69984324	0	.	.
ERR3305583	SAMEA5577403	SE	fastq_public/near_east_ancient/ERR3305583.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tqa3	1025830612	0	17a54188e7f8cf7491b0e7f8d90e0227	.
ERR3305584	SAMEA5577409	SE	fastq_public/near_east_ancient/ERR3305584.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tsa3	2304226011	0	28f6880091f2ff4672c6837335bfd0cf	.
ERR3317250	SAMEA5577347	SE	fastq_public/near_east_ancient/ERR3317250.fastq.gz	.	public_fastq	Bronze/Iron Near East	Ash4	27812791	0	d62826897dde37fc493dc735346ff435	.
ERR3317297	SAMEA5577407	SE	fastq_public/near_east_ancient/ERR3317297.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tsa1	2212645383	0	714832c0b3c4f6fe60c7856c80c09846	.
ERR3317298	SAMEA5577407	SE	fastq_public/near_east_ancient/ERR3317298.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tsa1	1534498615	0	75d65cf1740d2fe9b54c87641839ee3c	.
ERR3317315	SAMEA5577408	SE	fastq_public/near_east_ancient/ERR3317315.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tsa2	2120157115	0	c69c00c153e23a8bba6b6080f3ebbe76	.
ERR3327027	SAMEA5577347	SE	fastq_public/near_east_ancient/ERR3327027.fastq.gz	.	public_fastq	Bronze/Iron Near East	Ash4	6145429	0	f7d83a8a52aea6dc02499ed0ac38fe18	.
ERR3327028	SAMEA5577347	SE	fastq_public/near_east_ancient/ERR3327028.fastq.gz	.	public_fastq	Bronze/Iron Near East	Ash4	4063806	0	5fc6083f03c19dc7f866444631946d6c	.
ERR3327029	SAMEA5577347	SE	fastq_public/near_east_ancient/ERR3327029.fastq.gz	.	public_fastq	Bronze/Iron Near East	Ash4	5941760	0	1574bba986462490928cba382e732dc6	.
ERR3327030	SAMEA5577347	SE	fastq_public/near_east_ancient/ERR3327030.fastq.gz	.	public_fastq	Bronze/Iron Near East	Ash4	4121311	0	c38177e51d678398228939d03fd410c5	.
ERR3327089	SAMEA5577398	SE	fastq_public/near_east_ancient/ERR3327089.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tmq2	3956290	0	b2b13bcafe0140bea098cb797b4a61d2	.
ERR3327091	SAMEA5577398	SE	fastq_public/near_east_ancient/ERR3327091.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tmq2	3200104	0	7fd9c2dcf242636a59e85c70039b5ee7	.
ERR3327092	SAMEA5577398	SE	fastq_public/near_east_ancient/ERR3327092.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tmq2	4227627	0	de102c6e2684791b3e4063bc5faf2191	.
ERR3327094	SAMEA5577401	SE	fastq_public/near_east_ancient/ERR3327094.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tqa1	10912271	0	3b21f5e0158eb9a76d94bc319c0cb2b2	.
ERR3327095	SAMEA5577401	SE	fastq_public/near_east_ancient/ERR3327095.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tqa1	8710023	0	54b98c1d393a6dc55cdd1e0b9902579d	.
ERR3327096	SAMEA5577401	SE	fastq_public/near_east_ancient/ERR3327096.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tqa1	8713345	0	3388e78a00e876eab6e15cb364fc2bb8	.
ERR3327097	SAMEA5577402	SE	fastq_trimmed/ERR3327097.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tqa2	22420669	0	.	.
ERR3327099	SAMEA5577402	SE	fastq_trimmed/ERR3327099.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tqa2	3369011	0	.	.
ERR3327100	SAMEA5577402	SE	fastq_public/near_east_ancient/ERR3327100.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tqa2	7732289	0	39ea9d553a92d55b3b82f368e8f5ac8d	.
ERR3327101	SAMEA5577402	SE	fastq_trimmed/ERR3327101.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tqa2	48133045	0	.	.
ERR3327102	SAMEA5577402	SE	fastq_public/near_east_ancient/ERR3327102.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tqa2	4988194	0	0063bdedc40079a888c0c4fe2fbfc75a	.
ERR3327103	SAMEA5577402	SE	fastq_trimmed/ERR3327103.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tqa2	5999211	0	.	.
ERR3327108	SAMEA5577408	SE	fastq_public/near_east_ancient/ERR3327108.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tsa2	6887422	0	5c936b1477674db091f651070b61ec74	.
ERR3327109	SAMEA5577408	SE	fastq_trimmed/ERR3327109.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tsa2	19793960	0	.	.
ERR3327111	SAMEA5577408	SE	fastq_trimmed/ERR3327111.trim.fastq.gz	.	existing_trimmed	Bronze/Iron Near East	Tsa2	26929029	0	.	.
ERR3327112	SAMEA5577408	SE	fastq_public/near_east_ancient/ERR3327112.fastq.gz	.	public_fastq	Bronze/Iron Near East	Tsa2	6971128	0	ad60d427e2736f6fef7029e93cd91cfe	.
ERR3301567	SAMEA5577376	SE	fastq_trimmed/ERR3301567.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men1	5638893457	0	.	.
ERR3301568	SAMEA5577376	SE	fastq_trimmed/ERR3301568.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men1	3872373722	0	.	.
ERR3301570	SAMEA5577376	SE	fastq_trimmed/ERR3301570.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men1	4110440699	0	.	.
ERR3301573	SAMEA5577376	SE	fastq_trimmed/ERR3301573.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men1	5446646598	0	.	.
ERR3301574	SAMEA5577376	SE	fastq_trimmed/ERR3301574.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men1	4033416393	0	.	.
ERR3301576	SAMEA5577376	SE	fastq_trimmed/ERR3301576.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men1	4100671905	0	.	.
ERR3305549	SAMEA5577344	SE	fastq_public/near_east_ancient/ERR3305549.fastq.gz	.	public_fastq	Near Eastern aurochs	Abu1	268770994	0	205ebeba14877e33b9edfd0fe48c1bb5	.
ERR3305550	SAMEA5577345	SE	fastq_public/near_east_ancient/ERR3305550.fastq.gz	.	public_fastq	Near Eastern aurochs	Abu2	659626480	0	7a233ccfbf4fdb600b32e0fd156eae5c	.
ERR3305574	SAMEA5577390	SE	fastq_public/near_east_ancient/ERR3305574.fastq.gz	.	public_fastq	Early Domestic Near East	Sac3	3452531638	0	1348eb213f6b9158023b3c6d9d7157a7	.
ERR3317304	SAMEA5577377	SE	fastq_trimmed/ERR3317304.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men2	4418240951	0	.	.
ERR3317305	SAMEA5577377	SE	fastq_trimmed/ERR3317305.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men2	3995498245	0	.	.
ERR3317309	SAMEA5577377	SE	fastq_trimmed/ERR3317309.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men2	2750418593	0	.	.
ERR3317311	SAMEA5577377	SE	fastq_trimmed/ERR3317311.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men2	3483795709	0	.	.
ERR3317312	SAMEA5577377	SE	fastq_trimmed/ERR3317312.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Men2	3570859396	0	.	.
ERR3317359	SAMEA5577352	SE	fastq_trimmed/ERR3317359.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes2	9683641441	0	.	.
ERR3317360	SAMEA5577352	SE	fastq_trimmed/ERR3317360.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes2	10963318721	0	.	.
ERR3317362	SAMEA5577352	SE	fastq_trimmed/ERR3317362.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes2	19680079952	0	.	.
ERR3317363	SAMEA5577352	SE	fastq_trimmed/ERR3317363.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes2	15545857631	0	.	.
ERR3317366	SAMEA5577352	SE	fastq_trimmed/ERR3317366.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes2	11253075617	0	.	.
ERR3317369	SAMEA5577352	SE	fastq_trimmed/ERR3317369.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes2	16859910205	0	.	.
ERR3317372	SAMEA5577351	SE	fastq_trimmed/ERR3317372.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes1	2424192269	0	.	.
ERR3317375	SAMEA5577351	SE	fastq_trimmed/ERR3317375.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes1	1733819475	0	.	.
ERR3317378	SAMEA5577351	SE	fastq_trimmed/ERR3317378.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes1	2660787511	0	.	.
ERR3317379	SAMEA5577351	SE	fastq_trimmed/ERR3317379.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes1	1801070322	0	.	.
ERR3317380	SAMEA5577351	SE	fastq_trimmed/ERR3317380.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes1	1799845848	0	.	.
ERR3317381	SAMEA5577351	SE	fastq_trimmed/ERR3317381.trim.fastq.gz	.	existing_trimmed	Early Domestic Near East	Bes1	1775278295	0	.	.
ERR3327019	SAMEA5577344	SE	fastq_trimmed/ERR3327019.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu1	55332615	0	.	.
ERR3327020	SAMEA5577344	SE	fastq_trimmed/ERR3327020.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu1	18522156	0	.	.
ERR3327021	SAMEA5577344	SE	fastq_trimmed/ERR3327021.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu1	22240677	0	.	.
ERR3327022	SAMEA5577344	SE	fastq_trimmed/ERR3327022.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu1	21901941	0	.	.
ERR3327023	SAMEA5577345	SE	fastq_trimmed/ERR3327023.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu2	13631564	0	.	.
ERR3327024	SAMEA5577345	SE	fastq_trimmed/ERR3327024.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu2	25922348	0	.	.
ERR3327025	SAMEA5577345	SE	fastq_trimmed/ERR3327025.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu2	37019746	0	.	.
ERR3327026	SAMEA5577345	SE	fastq_trimmed/ERR3327026.trim.fastq.gz	.	existing_trimmed	Near Eastern aurochs	Abu2	26130150	0	.	.
ERR12893414	SAMEA115481003	SE	fastq_trimmed/ERR12893414.trim.fastq.gz	.	existing_trimmed	Early_MedievalEurope	Ancient Cattle	6337570186	0	.	.
ERR12893416	SAMEA115481003	SE	fastq_trimmed/ERR12893416.trim.fastq.gz	.	existing_trimmed	Early_MedievalEurope	Ancient Cattle	8075527082	0	.	.
ERR12893418	SAMEA115481003	SE	fastq_trimmed/ERR12893418.trim.fastq.gz	.	existing_trimmed	Early_MedievalEurope	Ancient Cattle	6824875564	0	.	.
ERR12893419	SAMEA115481003	SE	fastq_trimmed/ERR12893419.trim.fastq.gz	.	existing_trimmed	Early_MedievalEurope	Ancient Cattle	7047788634	0	.	.
ERR12893421	SAMEA115481003	SE	fastq_trimmed/ERR12893421.trim.fastq.gz	.	existing_trimmed	Early_MedievalEurope	Ancient Cattle	5394961756	0	.	.
ERR12893422	SAMEA115481003	SE	fastq_trimmed/ERR12893422.trim.fastq.gz	.	existing_trimmed	Early_MedievalEurope	Ancient Cattle	7416793820	0	.	.
ERR3305552	SAMEA5577349	SE	fastq_public/near_east_ancient/ERR3305552.fastq.gz	.	public_fastq	Neolithic Europe	Bel1	2231940270	0	aa237bed648f14c6494c08e8aa35724f	.
ERR3305553	SAMEA5577350	SE	fastq_public/near_east_ancient/ERR3305553.fastq.gz	.	public_fastq	Neolithic Europe	Bel2	2364427661	0	50eb5f3b50e6cfd294fe6ba59c072932	.
ERR3305554	SAMEA5577353	SE	fastq_trimmed/ERR3305554.trim.fastq.gz	.	existing_trimmed	Neolithic Europe	Bla1	392532480	0	.	.
ERR3317281	SAMEA5577381	SE	fastq_public/near_east_ancient/ERR3317281.fastq.gz	.	public_fastq	Neolithic Europe	Plo2	1279373011	0	267cd9fbcadf16d474f17bc0fa6bd7ba	.
ERR3317282	SAMEA5577381	SE	fastq_public/near_east_ancient/ERR3317282.fastq.gz	.	public_fastq	Neolithic Europe	Plo2	1813031782	0	f08078b29fa2968ca100757a196cf0da	.
ERR3317288	SAMEA5577383	SE	fastq_public/near_east_ancient/ERR3317288.fastq.gz	.	public_fastq	Neolithic Europe	Plo4	2228351643	0	f1bd6f39d21c5c5abd90c32cd4b6b467	.
ERR3317293	SAMEA5577387	SE	fastq_public/near_east_ancient/ERR3317293.fastq.gz	.	public_fastq	Neolithic Europe	Plo8	1685292715	0	cf421715436f2e6d95105a38134dab99	.
ERR3317294	SAMEA5577387	SE	fastq_public/near_east_ancient/ERR3317294.fastq.gz	.	public_fastq	Neolithic Europe	Plo8	1525696544	0	1cf3e86d3389f8182adb9f8cadd7614f	.
ERR11147943	SAMEA112769379	PE	fastq_public/swedish/ERR11147943_1.fastq.gz	fastq_public/swedish/ERR11147943_2.fastq.gz	public_fastq	swedish_modern	SH-2272-SE-21	34449331051	33266210845	f30746355582450fe62966659766f344	8aa0e44a7dfb903327e5d7c5d601bf3b
ERR11147950	SAMEA112769386	PE	fastq_public/swedish/ERR11147950_1.fastq.gz	fastq_public/swedish/ERR11147950_2.fastq.gz	public_fastq	swedish_modern	SH-2271-SE-52	26259973507	27844825390	d416f14801a09856d7e652b7e8f9dd14	b25a75f4639bc936bb446b18dd6ce4e8
ERR11147955	SAMEA112769391	PE	fastq_public/swedish/ERR11147955_1.fastq.gz	fastq_public/swedish/ERR11147955_2.fastq.gz	public_fastq	swedish_modern	SH-2271-SE-71	30130665151	31657075701	ce4f3d735040d9f56edc26d8aea84c4c	1fa2d01d158db74ed7e4197b7fe4c15f
ERR11147962	SAMEA112769398	PE	fastq_public/swedish/ERR11147962_1.fastq.gz	fastq_public/swedish/ERR11147962_2.fastq.gz	public_fastq	swedish_modern	SH-2270-SE-439	28592308580	26962704039	23fa1651aa741df77b04ebc94f4664bb	74bd0e12ee034ba80911e275286fee83
ERR11147963	SAMEA112769399	PE	fastq_public/swedish/ERR11147963_1.fastq.gz	fastq_public/swedish/ERR11147963_2.fastq.gz	public_fastq	swedish_modern	SH-2270-SE-475	28090188061	26723054407	7be624b579d1856035ca853e8d7af691	470e8765ecd530937fc13235bc77c669
ERR11147965	SAMEA112769401	PE	fastq_public/swedish/ERR11147965_1.fastq.gz	fastq_public/swedish/ERR11147965_2.fastq.gz	public_fastq	swedish_modern	SH-2270-SE-440	25795244825	27344729079	207a64af722d97c57f0e64d6104b2246	5dc918a8e45180eb5cdc326b53b49fe3
ERR10445855	SAMEA111531429	PE	fastq_public/swiss/ERR10445855_1.fastq.gz	fastq_public/swiss/ERR10445855_2.fastq.gz	public_fastq	Swiss_modern	Romagnola(Italy)	9240171136	10974398436	dd5da96838da645a8fc05bf0bc46f673	69d9318a3f4eaf50c8d3d5df4b71de3e
ERR10445856	SAMEA111531430	PE	fastq_public/swiss/ERR10445856_1.fastq.gz	fastq_public/swiss/ERR10445856_2.fastq.gz	public_fastq	Swiss_modern	Chianina(Italy)	9322231518	10096797325	35851f3d821c45722e13b9cd1bac43f1	1e21fabe58ae579295d97b03dc365d52
