run_accession	biological_sample_id	group	layout	sample_title
ERR12893503	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
ERR12893508	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
ERR12893514	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
ERR12893517	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
ERR12893518	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
ERR12893520	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
ERR12893546	SAMEA115481004	Aurochs_Mesolithic	SINGLE	Ancient Aurochs
SRR2464109	SAMN04028906	Aurochs_UK	SINGLE	a male Bos primigenius archaeological specimen from the United Kingdom
SRR2464112	SAMN04028906	Aurochs_UK	SINGLE	a male Bos primigenius archaeological specimen from the United Kingdom
SRR2465352	SAMN04028906	Aurochs_UK	SINGLE	a male Bos primigenius archaeological specimen from the United Kingdom
ERR3305577	SAMEA5577397	Bronze/Iron Near East	SINGLE	Tmq1
ERR3305578	SAMEA5577398	Bronze/Iron Near East	SINGLE	Tmq2
ERR3305579	SAMEA5577399	Bronze/Iron Near East	SINGLE	Tmq3
ERR3305580	SAMEA5577400	Bronze/Iron Near East	SINGLE	Tmq4
ERR3305581	SAMEA5577401	Bronze/Iron Near East	SINGLE	Tqa1
ERR3305582	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3305583	SAMEA5577403	Bronze/Iron Near East	SINGLE	Tqa3
ERR3305584	SAMEA5577409	Bronze/Iron Near East	SINGLE	Tsa3
ERR3317250	SAMEA5577347	Bronze/Iron Near East	SINGLE	Ash4
ERR3317297	SAMEA5577407	Bronze/Iron Near East	SINGLE	Tsa1
ERR3317298	SAMEA5577407	Bronze/Iron Near East	SINGLE	Tsa1
ERR3317315	SAMEA5577408	Bronze/Iron Near East	SINGLE	Tsa2
ERR3327027	SAMEA5577347	Bronze/Iron Near East	SINGLE	Ash4
ERR3327028	SAMEA5577347	Bronze/Iron Near East	SINGLE	Ash4
ERR3327029	SAMEA5577347	Bronze/Iron Near East	SINGLE	Ash4
ERR3327030	SAMEA5577347	Bronze/Iron Near East	SINGLE	Ash4
ERR3327089	SAMEA5577398	Bronze/Iron Near East	SINGLE	Tmq2
ERR3327091	SAMEA5577398	Bronze/Iron Near East	SINGLE	Tmq2
ERR3327092	SAMEA5577398	Bronze/Iron Near East	SINGLE	Tmq2
ERR3327094	SAMEA5577401	Bronze/Iron Near East	SINGLE	Tqa1
ERR3327095	SAMEA5577401	Bronze/Iron Near East	SINGLE	Tqa1
ERR3327096	SAMEA5577401	Bronze/Iron Near East	SINGLE	Tqa1
ERR3327097	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3327099	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3327100	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3327101	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3327102	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3327103	SAMEA5577402	Bronze/Iron Near East	SINGLE	Tqa2
ERR3327108	SAMEA5577408	Bronze/Iron Near East	SINGLE	Tsa2
ERR3327109	SAMEA5577408	Bronze/Iron Near East	SINGLE	Tsa2
ERR3327111	SAMEA5577408	Bronze/Iron Near East	SINGLE	Tsa2
ERR3327112	SAMEA5577408	Bronze/Iron Near East	SINGLE	Tsa2
ERR3301567	SAMEA5577376	Early Domestic Near East	SINGLE	Men1
ERR3301568	SAMEA5577376	Early Domestic Near East	SINGLE	Men1
ERR3301570	SAMEA5577376	Early Domestic Near East	SINGLE	Men1
ERR3301573	SAMEA5577376	Early Domestic Near East	SINGLE	Men1
ERR3301574	SAMEA5577376	Early Domestic Near East	SINGLE	Men1
ERR3301576	SAMEA5577376	Early Domestic Near East	SINGLE	Men1
ERR3305549	SAMEA5577344	Near Eastern aurochs	SINGLE	Abu1
ERR3305550	SAMEA5577345	Near Eastern aurochs	SINGLE	Abu2
ERR3305574	SAMEA5577390	Early Domestic Near East	SINGLE	Sac3
ERR3317304	SAMEA5577377	Early Domestic Near East	SINGLE	Men2
ERR3317305	SAMEA5577377	Early Domestic Near East	SINGLE	Men2
ERR3317309	SAMEA5577377	Early Domestic Near East	SINGLE	Men2
ERR3317311	SAMEA5577377	Early Domestic Near East	SINGLE	Men2
ERR3317312	SAMEA5577377	Early Domestic Near East	SINGLE	Men2
ERR3317359	SAMEA5577352	Early Domestic Near East	SINGLE	Bes2
ERR3317360	SAMEA5577352	Early Domestic Near East	SINGLE	Bes2
ERR3317362	SAMEA5577352	Early Domestic Near East	SINGLE	Bes2
ERR3317363	SAMEA5577352	Early Domestic Near East	SINGLE	Bes2
ERR3317366	SAMEA5577352	Early Domestic Near East	SINGLE	Bes2
ERR3317369	SAMEA5577352	Early Domestic Near East	SINGLE	Bes2
ERR3317372	SAMEA5577351	Early Domestic Near East	SINGLE	Bes1
ERR3317375	SAMEA5577351	Early Domestic Near East	SINGLE	Bes1
ERR3317378	SAMEA5577351	Early Domestic Near East	SINGLE	Bes1
ERR3317379	SAMEA5577351	Early Domestic Near East	SINGLE	Bes1
ERR3317380	SAMEA5577351	Early Domestic Near East	SINGLE	Bes1
ERR3317381	SAMEA5577351	Early Domestic Near East	SINGLE	Bes1
ERR3327019	SAMEA5577344	Near Eastern aurochs	SINGLE	Abu1
ERR3327020	SAMEA5577344	Near Eastern aurochs	SINGLE	Abu1
ERR3327021	SAMEA5577344	Near Eastern aurochs	SINGLE	Abu1
ERR3327022	SAMEA5577344	Near Eastern aurochs	SINGLE	Abu1
ERR3327023	SAMEA5577345	Near Eastern aurochs	SINGLE	Abu2
ERR3327024	SAMEA5577345	Near Eastern aurochs	SINGLE	Abu2
ERR3327025	SAMEA5577345	Near Eastern aurochs	SINGLE	Abu2
ERR3327026	SAMEA5577345	Near Eastern aurochs	SINGLE	Abu2
ERR12893414	SAMEA115481003	Early_MedievalEurope	SINGLE	Ancient Cattle
ERR12893416	SAMEA115481003	Early_MedievalEurope	SINGLE	Ancient Cattle
ERR12893418	SAMEA115481003	Early_MedievalEurope	SINGLE	Ancient Cattle
ERR12893419	SAMEA115481003	Early_MedievalEurope	SINGLE	Ancient Cattle
ERR12893421	SAMEA115481003	Early_MedievalEurope	SINGLE	Ancient Cattle
ERR12893422	SAMEA115481003	Early_MedievalEurope	SINGLE	Ancient Cattle
ERR3305552	SAMEA5577349	Neolithic Europe	SINGLE	Bel1
ERR3305553	SAMEA5577350	Neolithic Europe	SINGLE	Bel2
ERR3305554	SAMEA5577353	Neolithic Europe	SINGLE	Bla1
ERR3317281	SAMEA5577381	Neolithic Europe	SINGLE	Plo2
ERR3317282	SAMEA5577381	Neolithic Europe	SINGLE	Plo2
ERR3317288	SAMEA5577383	Neolithic Europe	SINGLE	Plo4
ERR3317293	SAMEA5577387	Neolithic Europe	SINGLE	Plo8
ERR3317294	SAMEA5577387	Neolithic Europe	SINGLE	Plo8
ERR11147943	SAMEA112769379	swedish_modern	PAIRED	SH-2272-SE-21
ERR11147950	SAMEA112769386	swedish_modern	PAIRED	SH-2271-SE-52
ERR11147955	SAMEA112769391	swedish_modern	PAIRED	SH-2271-SE-71
ERR11147962	SAMEA112769398	swedish_modern	PAIRED	SH-2270-SE-439
ERR11147963	SAMEA112769399	swedish_modern	PAIRED	SH-2270-SE-475
ERR11147965	SAMEA112769401	swedish_modern	PAIRED	SH-2270-SE-440
ERR10445855	SAMEA111531429	Swiss_modern	PAIRED	Romagnola(Italy)
ERR10445856	SAMEA111531430	Swiss_modern	PAIRED	Chianina(Italy)
ERR10445861	SAMEA111531435	Swiss_modern	PAIRED	Limousin(France)
ERR10445862	SAMEA111531436	Swiss_modern	PAIRED	Limousin(France)
ERR10445863	SAMEA111531437	Swiss_modern	PAIRED	Simmental(Switzerland)
ERR10445865	SAMEA111531439	Swiss_modern	PAIRED	Simmental(Switzerland)
ERR10445888	SAMEA111531462	Swiss_modern	PAIRED	Holstein(Netherlands/Germany)
ERR10445916	SAMEA111531490	Swiss_modern	PAIRED	Holstein(Netherlands/Germany)
ERR10445957	SAMEA111531531	Swiss_modern	PAIRED	Brown Swiss (Switzerland)
ERR10445964	SAMEA111531538	Swiss_modern	PAIRED	Romagnola(Italy)
