#FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	group	layout
SAMEA115481004	SAMEA115481004	-0.979554	0.0995973	0.0199599	-0.0186932	0.00384115	-0.0164357	-0.00504315	-0.00138376	-0.00271591	0.000646992	0.00378588	8.11429e-05	-0.000295629	-0.00202297	0.00120399	0.000535027	0.000260157	0.000417085	0.000389856	-0.00151598	0.000701463	0.000200163	0.000337554	9.09626e-05	0.000562038	-0.000529923	-0.000169896	0.000859123	-0.00102563	-0.000158134	0.000336741	-0.000265042	Aurochs_Mesolithic	single-end
SAMEA5577352	SAMEA5577352	-0.0570117	-0.928036	0.252416	-0.161238	0.0981945	0.0581767	0.0555178	0.000618698	0.00219509	0.00171566	0.00478503	0.00346997	-0.000662546	-0.0135135	-0.0124894	0.00385217	0.00107464	0.000394501	-0.000542653	0.0013168	-0.000331598	0.000258694	-0.000660264	-0.000224516	-0.00234401	-0.00117361	1.43385e-05	0.00178717	-0.000805363	-0.000189938	0.00031037	-0.000394881	Early Domestic Near East	single-end
SAMEA115481003	SAMEA115481003	-0.0077871	-0.213602	-0.953395	-0.103183	0.0106655	-0.0670487	-0.0202927	-0.00355277	-0.00681841	-0.000301517	0.0128494	-0.00306624	0.000512727	-0.00462222	0.00534184	-0.00177481	0.00181032	-0.000767801	0.0017213	-0.0066248	0.000370453	-3.81103e-05	0.00017888	0.000456568	0.000344453	7.70328e-05	-7.00533e-06	0.00149749	-0.000680306	-9.27379e-06	0.000104838	-0.000244144	Early_MedievalEurope	single-end
SAMEA112769379	SAMEA112769379	0.0262015	0.0196897	0.00151954	0.0805658	-0.0379415	0.102305	0.0404448	0.0674338	0.0446952	0.0270422	-0.626113	-0.0065719	0.72844	-0.127119	-0.00525058	-0.0434089	0.00627563	0.0146405	-0.000623094	-0.0240011	0.00152373	-0.000702576	0.00581565	0.0012013	-0.000146819	0.00146469	-0.000851824	0.00289608	-0.000193865	-0.000373086	-8.59021e-05	-0.000253745	swedish_modern	paired-end
SAMEA112769386	SAMEA112769386	0.0279046	0.0237829	0.00101297	0.0812065	-0.0305499	0.110091	0.0746143	0.123285	-0.0195212	0.0490785	-0.436117	0.0237787	-0.492925	-0.092182	0.0399938	-0.0504226	-0.00520724	0.690873	0.0312136	-0.013582	-0.00030884	-0.0147101	-0.000471917	0.0113366	-0.000850465	0.00308909	-0.00345272	0.00353844	-0.000834972	0.000363373	0.000146457	-0.000346714	swedish_modern	paired-end
SAMEA112769391	SAMEA112769391	0.0274526	0.023717	0.00273526	0.0805863	-0.0294563	0.107778	0.0744902	0.112731	-0.0250036	0.0501433	-0.4278	0.0239642	-0.456928	-0.0927168	0.0385398	-0.0502555	-0.00990942	-0.720993	-0.0176256	-0.0508723	0.00742873	0.015204	0.0061228	-0.00586969	-0.000848752	0.000835977	0.000446367	0.00250069	-0.000514724	-0.00036638	-0.000575449	-0.00029049	swedish_modern	paired-end
SAMEA112769398	SAMEA112769398	0.0312586	0.0367589	0.00740462	0.0631569	-0.0164457	0.121692	0.135174	0.35582	-0.205417	0.161782	0.197429	-0.0310148	0.0659439	-0.0191903	0.00949598	-0.0406089	0.00626299	0.0056637	-0.00173722	-0.0266627	0.00702476	0.00270564	-0.609384	-0.562126	0.00207696	0.00736775	0.00790445	0.00409039	-0.00173652	0.000127367	0.000271733	-0.000419101	swedish_modern	paired-end
SAMEA112769399	SAMEA112769399	0.0317076	0.0367144	0.00868105	0.0613073	-0.0199855	0.120665	0.139333	0.37153	-0.21829	0.171203	0.212482	-0.0287822	0.0712723	-0.023252	0.0140308	-0.0474148	0.00620271	-0.00913525	0.00798681	-0.0310488	-0.00735853	-0.00454817	-0.191807	0.788428	-0.00561632	-0.0011893	0.00300392	0.00377087	-0.00012182	0.000121092	-0.000584595	-0.000288521	swedish_modern	paired-end
SAMEA112769401	SAMEA112769401	0.0320363	0.0370088	0.00847604	0.0592268	-0.0181625	0.120574	0.142079	0.376298	-0.217084	0.173246	0.216072	-0.0326928	0.0677655	-0.0234458	0.0105704	-0.0454917	0.0042539	0.00786394	0.00903928	-0.0261126	0.00244211	0.00131659	0.769072	-0.248841	-0.00191441	0.00268921	-0.0113084	0.00377427	-0.000375427	0.000236754	-0.00040226	-0.000244317	swedish_modern	paired-end
SAMEA111531429	SAMEA111531429	0.0285227	-0.0232715	0.0361908	0.0908243	-0.0962634	0.0517502	-0.684948	0.113021	-0.0550293	-0.0763223	0.0420559	0.0445785	-0.00893433	-0.0730311	-0.0504569	-0.0203112	0.00661676	-0.00167996	-0.00118623	-0.0103431	-0.000313891	-0.00396514	0.00236268	0.00322953	-0.010051	0.666533	-0.0288319	0.00290036	-0.000921703	-0.000332699	1.95467e-06	-0.000313744	Swiss_modern	paired-end
SAMEA111531430	SAMEA111531430	0.026304	-0.0353931	0.0356304	0.134763	-0.173141	-0.172965	-0.0525474	-0.00889011	0.015154	0.0177574	-0.0541494	-0.106656	0.0279529	0.648829	0.667408	-0.0644219	0.00581621	-0.000188896	0.00528628	-0.0113069	0.00858433	0.00443455	0.00228615	-0.000828854	-0.00402746	0.00309073	-0.00259928	0.00323607	-0.000380907	-6.52056e-05	-0.000458111	-0.00030446	Swiss_modern	paired-end
SAMEA111531435	SAMEA111531435	0.0285182	0.0211405	0.00903654	0.0638589	-0.0395022	0.0805402	0.00259722	-0.1236	0.0528083	0.0802364	-0.00604567	-0.323759	-0.0126142	0.323753	-0.420715	-0.0853635	-0.732644	0.00416988	-0.0141813	-0.0310352	0.00975635	-0.00224478	0.000622929	0.00387665	-0.00039865	0.00109111	-0.00156414	0.00299616	-5.58923e-06	-0.000368185	-0.000473818	-0.00022863	Swiss_modern	paired-end
SAMEA111531436	SAMEA111531436	0.0281811	0.0209726	0.0081907	0.0817003	-0.039974	0.0933631	0.0121163	-0.137357	0.046052	0.0789185	-0.0226409	-0.352806	-0.0328597	0.353277	-0.460783	-0.0267428	0.678138	-0.00256871	0.0186456	-0.0141567	0.00725093	-0.00115447	0.00316647	0.00383879	0.00368607	9.10446e-05	-0.000736193	0.00321602	-0.000463361	-0.00031431	0.000137226	-0.000332106	Swiss_modern	paired-end
SAMEA111531437	SAMEA111531437	0.0308328	0.0278025	0.0137176	0.0754027	-0.0392943	0.113554	0.0387837	-0.274041	-0.0586297	-0.0655748	0.107061	-0.417854	-0.00143675	-0.326424	0.225537	0.0977082	-0.00366089	-0.000712245	0.106619	-0.0205659	0.00161015	-0.000837044	-0.000820879	-0.00336686	-0.706904	-0.000644438	-0.000943798	0.00370626	-0.000484999	-0.00011795	-0.00031713	-0.000259616	Swiss_modern	paired-end
SAMEA111531439	SAMEA111531439	0.0332647	0.0279636	0.0183559	0.0564639	-0.036309	0.0989208	0.0234879	-0.256655	-0.0508055	-0.0482958	0.103455	-0.429656	-0.00277162	-0.328294	0.232196	0.107307	-0.00774347	-0.00131088	0.114642	-0.0166009	0.00990919	-0.00117561	0.00129086	0.00396529	0.706552	0.00875197	-0.00347908	0.00296916	-0.000217106	-0.000127945	-0.000115742	-0.000265723	Swiss_modern	paired-end
SAMEA111531462	SAMEA111531462	0.0306859	0.0307801	0.00673793	0.0660567	-0.0225549	0.105384	0.0787266	-0.0694865	-0.12185	-0.195082	0.00898614	0.236414	0.0107408	0.127999	-0.0677113	0.488539	-0.0279774	0.0106613	0.180104	-0.0417058	-0.11223	0.72418	0.00167448	0.0042839	0.00507569	0.00672651	-0.00105409	0.00364767	0.000176377	-7.34547e-05	-4.17321e-05	-0.000243216	Swiss_modern	paired-end
SAMEA111531490	SAMEA111531490	0.0302266	0.0298119	0.00621696	0.0729417	-0.0199223	0.10821	0.0903473	-0.0749146	-0.136429	-0.222224	0.0106851	0.267342	0.0134543	0.142697	-0.0711197	0.475841	-0.0284914	-0.0206419	0.289161	-0.0596013	0.113438	-0.666246	0.0017609	-0.00201647	0.00398315	0.00493915	-0.0050279	0.00349186	-0.00124675	0.000555749	-0.000286158	-0.000361551	Swiss_modern	paired-end
SAMEA111531531	SAMEA111531531	0.0299804	0.0229058	0.0108411	0.0776738	-0.0457459	0.0989471	-0.0156872	-0.285455	0.178803	0.47259	0.0984835	0.277526	0.00901388	-0.046722	0.0359027	-0.0195675	0.00558554	-0.00316384	0.0113611	-0.044351	-0.711812	-0.117744	0.00026922	-0.00869522	0.00479387	0.00174356	0.00039982	0.00305441	-0.000363247	-3.4947e-05	-0.000515476	-0.000258485	Swiss_modern	paired-end
SAMEA111531538	SAMEA111531538	0.0314372	-0.0118681	0.0355514	0.0692733	-0.0831942	0.0471288	-0.610025	0.0998327	-0.0500884	-0.0686823	0.038991	0.0416036	-0.00804378	-0.0647786	-0.0406236	-0.0140587	0.00482121	0.000607585	0.00620835	-0.00562261	0.00177592	-0.00117045	-1.46301e-05	-0.00470592	-0.000238018	-0.743933	0.0295219	0.00450941	-8.16525e-05	3.00736e-05	-0.000688082	-0.000282049	Swiss_modern	paired-end
SAMEA115112573	SAMEA115112573	0.0279202	-0.084313	0.0624367	0.298644	-0.449177	-0.748006	0.142856	0.0224962	-0.01533	-0.016576	0.0326899	0.0396316	-0.00881012	-0.211142	-0.195283	0.0216292	0.00127091	0.00119375	-0.00453458	-0.00597362	-0.00389999	-0.00128801	-0.0018186	-0.00192796	-0.00108169	-0.00179407	-0.000128725	0.00220881	-0.000833673	5.41699e-05	-7.0152e-05	-0.000308995	Swiss_modern	paired-end
SAMEA115112585	SAMEA115112585	0.0312566	0.0229324	0.0113749	0.0802216	-0.0420856	0.0955754	-0.0151034	-0.298651	0.177259	0.489492	0.107174	0.307286	0.0125387	-0.0611932	0.0337593	-0.0348601	0.00904195	0.00825434	0.00708472	0.00127285	0.682683	0.10778	0.0013123	0.00704854	-0.00321521	0.00398753	-0.00622121	0.00339352	-0.00011428	0.00052657	-0.000368272	-0.000266921	Swiss_modern	paired-end
