PC	eigenvalue	variance_fraction	cumulative_fraction	broken_stick_fraction	above_broken_stick	recommended	eigen_gap_to_next	stability_mean	stability_min	pc_index
PC1	4.93404	0.12888	0.12888	0.12682797	True	True	1.41009	0.99999313	0.99998963	1
PC2	3.52395	0.092047631	0.22092764	0.095577975	False	True	0.8101	0.99998889	0.99998534	2
PC3	2.71385	0.070887346	0.29181498	0.079952975	False	True	0.49946	0.99997661	0.99997049	3
PC4	2.21439	0.057841159	0.34965614	0.069536308	False	True	0.23636	0.99989181	0.99975626	4
PC5	1.97803	0.051667298	0.40132344	0.061723808	False	True	0.14656	0.99969635	0.99950743	5
PC6	1.83147	0.047839065	0.4491625	0.055473808	False	True	0.36302	0.99971319	0.99964378	6
PC7	1.46845	0.038356771	0.48751928	0.050265475	False	False	0.08706	0.99961476	0.99942014	7
PC8	1.38139	0.036082713	0.52360199	0.045801189	False	False	0.0487	0.99594019	0.99213648	8
PC9	1.33269	0.034810641	0.55841263	0.041894939	False	False	0.02656	NA	NA	9
PC10	1.30613	0.034116878	0.59252951	0.038422717	False	False	0.04362	NA	NA	10
PC11	1.26251	0.032977498	0.62550701	0.035297717	False	False	0.04643	NA	NA	11
PC12	1.21608	0.031764719	0.65727172	0.032456808	False	False	0.01918	NA	NA	12
PC13	1.1969	0.031263727	0.68853545	0.029852641	True	False	0.02926	NA	NA	13
PC14	1.16764	0.030499438	0.71903489	0.027448795	True	False	0.00709	NA	NA	14
PC15	1.16055	0.030314243	0.74934913	0.025216652	True	False	0.0896	NA	NA	15
PC16	1.07095	0.027973839	0.77732297	0.023133319	True	False	0.03863	NA	NA	16
PC17	1.03232	0.026964801	0.80428777	0.021180194	True	False	0.082117	NA	NA	17
PC18	0.950203	0.024819857	0.82910763	0.019341959	True	False	0.028037	NA	NA	18
PC19	0.922166	0.024087514	0.85319514	0.017605847	True	False	0.040133	NA	NA	19
PC20	0.882033	0.023039217	0.87623436	0.015961111	True	False	0.067961	NA	NA	20
PC21	0.814072	0.021264036	0.8974984	0.014398611	True	False	0.010407	NA	NA	21
PC22	0.803665	0.020992199	0.9184906	0.012910515	True	False	0.173723	NA	NA	22
PC23	0.629942	0.016454453	0.93494505	0.011490061	True	False	0.019271	NA	NA	23
PC24	0.610671	0.015951083	0.95089613	0.010131365	True	False	0.066496	NA	NA	24
PC25	0.544175	0.014214169	0.9651103	0.0088292818	True	False	0.077067	NA	NA	25
PC26	0.467108	0.012201134	0.97731143	0.0075792818	True	False	0.008035	NA	NA	26
PC27	0.459073	0.011991255	0.98930269	0.0063773587	True	False	0.342671	NA	NA	27
PC28	0.116402	0.0030404882	0.99234318	0.0052199513	False	False	0.012561	NA	NA	28
PC29	0.103841	0.0027123875	0.99505556	0.0041038799	False	False	0.0164136	NA	NA	29
PC30	0.0874274	0.0022836547	0.99733922	0.0030262937	False	False	0.0116092	NA	NA	30
PC31	0.0758182	0.0019804156	0.99931963	0.001984627	False	False	0.0497711	NA	NA	31
PC32	0.0260471	0.00068036546	1	0.0009765625	False	False	NA	NA	NA	32
