FID	IID	Ancestry_1	Ancestry_2	group	sample_index
SAMEA115481004	SAMEA115481004	0.99999	1e-05	Aurochs_Mesolithic	1
SAMEA5577352	SAMEA5577352	0.99999	1e-05	Early Domestic Near East	2
SAMEA115481003	SAMEA115481003	0.633957	0.366043	Early_MedievalEurope	3
IPCC01	IPCC01	1e-05	0.99999	Chillingham	4
IPCC02	IPCC02	1e-05	0.99999	Chillingham	5
IPCC03	IPCC03	1e-05	0.99999	Chillingham	6
IPCC04	IPCC04	1e-05	0.99999	Chillingham	7
IPCC05	IPCC05	1e-05	0.99999	Chillingham	8
IPCC06	IPCC06	1e-05	0.99999	Chillingham	9
SAMEA112769379	SAMEA112769379	0.987362	0.012638	swedish_modern	10
SAMEA112769386	SAMEA112769386	0.99016	0.00984	swedish_modern	11
SAMEA112769391	SAMEA112769391	0.988162	0.011838	swedish_modern	12
SAMEA112769398	SAMEA112769398	0.979531	0.020469	swedish_modern	13
SAMEA112769399	SAMEA112769399	0.976985	0.023015	swedish_modern	14
SAMEA112769401	SAMEA112769401	0.974501	0.025499	swedish_modern	15
SAMEA10833845	SAMEA10833845	0.991191	0.008809	Swiss_modern	16
SAMEA111531429	SAMEA111531429	0.99999	1e-05	Swiss_modern	17
SAMEA111531430	SAMEA111531430	0.99999	1e-05	Swiss_modern	18
SAMEA111531435	SAMEA111531435	0.987428	0.012572	Swiss_modern	19
SAMEA111531436	SAMEA111531436	0.995902	0.004098	Swiss_modern	20
SAMEA111531437	SAMEA111531437	0.995177	0.004823	Swiss_modern	21
SAMEA111531439	SAMEA111531439	0.987082	0.012918	Swiss_modern	22
SAMEA111531462	SAMEA111531462	0.97848	0.02152	Swiss_modern	23
SAMEA111531490	SAMEA111531490	0.98617	0.01383	Swiss_modern	24
SAMEA111531531	SAMEA111531531	0.99164	0.00836	Swiss_modern	25
SAMEA111531538	SAMEA111531538	0.99999	1e-05	Swiss_modern	26
SAMEA115112573	SAMEA115112573	0.99999	1e-05	Swiss_modern	27
SAMEA115112585	SAMEA115112585	0.997561	0.002439	Swiss_modern	28
SAMEA115112614	SAMEA115112614	0.99999	1e-05	Swiss_modern	29
SAMEA115112619	SAMEA115112619	0.667226	0.332774	Swiss_modern	30
SAMEA115112636	SAMEA115112636	0.964486	0.035514	Swiss_modern	31
SAMEA5159829	SAMEA5159829	0.952571	0.047429	Swiss_modern	32
SAMEA5159830	SAMEA5159830	0.95173	0.04827	Swiss_modern	33
