#FID	IID	O(HOM)	E(HOM)	OBS_CT	F	group
SAMEA115481004	SAMEA115481004	724559	935248	1024796	-2.35281	Aurochs_Mesolithic
SAMEA115481003	SAMEA115481003	1895217	2095440	2407797	-0.64103	Early_MedievalEurope
SAMEA5577352	SAMEA5577352	1910770	2031810	2327907	-0.40877	Early Domestic Near East
SAMEA115112619	SAMEA115112619	2222493	2346330	2678708	-0.372592	Swiss_modern
SAMEA115112614	SAMEA115112614	2308901	2423430	2780182	-0.321015	Swiss_modern
SAMEA115112573	SAMEA115112573	2347066	2432020	2801677	-0.229832	Swiss_modern
SAMEA111531435	SAMEA111531435	2403376	2427430	2778668	-0.0684867	Swiss_modern
SAMEA112769391	SAMEA112769391	2503427	2515250	2905766	-0.0302761	swedish_modern
SAMEA111531439	SAMEA111531439	2375394	2384490	2718847	-0.027202	Swiss_modern
SAMEA111531436	SAMEA111531436	2475587	2482000	2857848	-0.017075	Swiss_modern
SAMEA115112636	SAMEA115112636	2477504	2471740	2848266	0.0152985	Swiss_modern
SAMEA111531429	SAMEA111531429	2498826	2492110	2874321	0.0175764	Swiss_modern
SAMEA112769379	SAMEA112769379	2522113	2514350	2904697	0.0198972	swedish_modern
SAMEA10833845	SAMEA10833845	2520457	2505040	2892774	0.0397678	Swiss_modern
SAMEA112769386	SAMEA112769386	2534328	2514390	2904762	0.0510842	swedish_modern
SAMEA111531437	SAMEA111531437	2523549	2496040	2879319	0.0717712	Swiss_modern
SAMEA115112585	SAMEA115112585	2500842	2465430	2838849	0.0948371	Swiss_modern
SAMEA111531462	SAMEA111531462	2517427	2477970	2853116	0.10518	Swiss_modern
SAMEA112769398	SAMEA112769398	2559989	2513890	2904180	0.118122	swedish_modern
SAMEA5159829	SAMEA5159829	2539201	2488190	2867575	0.134451	Swiss_modern
SAMEA111531490	SAMEA111531490	2535725	2484160	2863441	0.135949	Swiss_modern
SAMEA111531531	SAMEA111531531	2564504	2501160	2887267	0.164056	Swiss_modern
SAMEA5159830	SAMEA5159830	2579798	2510270	2899742	0.178514	Swiss_modern
SAMEA111531430	SAMEA111531430	2567724	2498320	2883941	0.179969	Swiss_modern
SAMEA112769399	SAMEA112769399	2586489	2514110	2904483	0.185406	swedish_modern
SAMEA112769401	SAMEA112769401	2610325	2514010	2904347	0.246752	swedish_modern
SAMEA111531538	SAMEA111531538	2523271	2429050	2784678	0.264936	Swiss_modern
IPCC03	IPCC03	2755663	2440810	2802444	0.87064	Chillingham
IPCC04	IPCC04	2829183	2490110	2874884	0.881225	Chillingham
IPCC05	IPCC05	2825962	2486000	2869672	0.886075	Chillingham
IPCC06	IPCC06	2813715	2476360	2856219	0.888105	Chillingham
IPCC01	IPCC01	2860706	2511610	2900474	0.897733	Chillingham
IPCC02	IPCC02	2867415	2514790	2905017	0.90364	Chillingham
