generation	Ne	population
1	3.51888	Chillingham
2	3.51888	Chillingham
3	3.51888	Chillingham
4	3.51888	Chillingham
5	2.50211	Chillingham
6	2.50211	Chillingham
7	2.50211	Chillingham
8	2.50211	Chillingham
9	7.33804	Chillingham
10	7.3398	Chillingham
11	7.34006	Chillingham
12	9.41461	Chillingham
13	12.0818	Chillingham
14	12.1339	Chillingham
15	12.1504	Chillingham
16	12.1109	Chillingham
17	12.0365	Chillingham
18	24.6895	Chillingham
19	9000.55	Chillingham
20	11067.3	Chillingham
21	11063.6	Chillingham
22	11119.3	Chillingham
23	11361.9	Chillingham
24	11360.9	Chillingham
25	11445.8	Chillingham
26	11468.2	Chillingham
27	11019.4	Chillingham
28	10825.3	Chillingham
29	10770.0	Chillingham
30	10811.8	Chillingham
31	10866.1	Chillingham
32	10844.4	Chillingham
33	10917.8	Chillingham
34	11044.8	Chillingham
35	10985.1	Chillingham
36	10898.7	Chillingham
37	10953.7	Chillingham
38	10865.0	Chillingham
39	10804.5	Chillingham
40	10720.2	Chillingham
41	10855.2	Chillingham
42	10955.1	Chillingham
43	11090.5	Chillingham
44	11540.1	Chillingham
45	11820.6	Chillingham
46	11946.1	Chillingham
47	11859.9	Chillingham
48	12072.3	Chillingham
49	12350.2	Chillingham
50	12623.6	Chillingham
51	12896.1	Chillingham
52	13118.6	Chillingham
53	13224.7	Chillingham
54	13204.2	Chillingham
55	13030.1	Chillingham
56	12755.7	Chillingham
57	12605.0	Chillingham
58	12718.7	Chillingham
59	12738.2	Chillingham
60	12852.1	Chillingham
61	12864.2	Chillingham
62	12808.9	Chillingham
63	12827.4	Chillingham
64	12962.5	Chillingham
65	13250.4	Chillingham
66	13265.5	Chillingham
67	13396.5	Chillingham
68	13609.5	Chillingham
69	13785.4	Chillingham
70	13955.5	Chillingham
71	14176.4	Chillingham
72	14226.7	Chillingham
73	14414.5	Chillingham
74	14386.0	Chillingham
75	14451.5	Chillingham
76	14380.8	Chillingham
77	14458.6	Chillingham
78	14319.1	Chillingham
79	14267.2	Chillingham
80	14404.0	Chillingham
81	14243.3	Chillingham
82	13889.5	Chillingham
83	13902.8	Chillingham
84	13758.0	Chillingham
85	13416.4	Chillingham
86	13179.5	Chillingham
87	13283.7	Chillingham
88	13584.5	Chillingham
89	13755.1	Chillingham
90	14047.1	Chillingham
91	14133.1	Chillingham
92	14051.1	Chillingham
93	13882.6	Chillingham
94	13738.0	Chillingham
95	13779.7	Chillingham
96	13983.1	Chillingham
97	14188.6	Chillingham
98	14332.5	Chillingham
99	14235.6	Chillingham
100	14191.5	Chillingham
101	14056.8	Chillingham
102	13895.1	Chillingham
103	13873.9	Chillingham
104	14010.3	Chillingham
105	14219.9	Chillingham
106	14532.8	Chillingham
107	14709.2	Chillingham
108	14766.2	Chillingham
109	15023.3	Chillingham
110	15225.1	Chillingham
111	15574.4	Chillingham
112	15925.5	Chillingham
113	16157.0	Chillingham
114	16127.1	Chillingham
115	15993.4	Chillingham
116	15779.6	Chillingham
117	15658.3	Chillingham
118	15447.8	Chillingham
119	15092.2	Chillingham
120	15065.1	Chillingham
121	15142.6	Chillingham
122	15255.9	Chillingham
123	15254.2	Chillingham
124	15243.4	Chillingham
125	15172.4	Chillingham
126	15081.8	Chillingham
127	14925.7	Chillingham
128	14929.1	Chillingham
129	15038.0	Chillingham
130	15309.2	Chillingham
131	15747.5	Chillingham
132	15966.8	Chillingham
133	15984.5	Chillingham
134	16150.0	Chillingham
135	16413.6	Chillingham
136	16536.2	Chillingham
137	16602.2	Chillingham
138	16607.3	Chillingham
139	16639.8	Chillingham
140	16633.8	Chillingham
141	16687.1	Chillingham
142	16773.6	Chillingham
143	16790.2	Chillingham
144	16794.8	Chillingham
145	16684.5	Chillingham
146	16477.9	Chillingham
147	16406.1	Chillingham
148	16238.9	Chillingham
149	16221.9	Chillingham
150	16264.8	Chillingham
151	16368.1	Chillingham
152	16251.3	Chillingham
153	16381.5	Chillingham
154	16408.8	Chillingham
155	16436.3	Chillingham
156	16347.2	Chillingham
157	15826.0	Chillingham
158	15456.4	Chillingham
159	15245.2	Chillingham
160	15188.8	Chillingham
161	15085.8	Chillingham
162	14918.2	Chillingham
163	14879.0	Chillingham
164	14854.4	Chillingham
165	14898.3	Chillingham
166	15150.6	Chillingham
167	15497.7	Chillingham
168	15709.6	Chillingham
169	15837.6	Chillingham
170	15930.0	Chillingham
171	15999.7	Chillingham
172	16025.4	Chillingham
173	15936.6	Chillingham
174	15960.9	Chillingham
175	15966.8	Chillingham
176	15928.9	Chillingham
177	16037.5	Chillingham
178	16235.1	Chillingham
179	16357.8	Chillingham
180	16440.3	Chillingham
181	16474.6	Chillingham
182	16570.1	Chillingham
183	16555.9	Chillingham
184	16616.0	Chillingham
185	16647.0	Chillingham
186	16504.2	Chillingham
187	16399.9	Chillingham
188	16352.3	Chillingham
189	16345.3	Chillingham
190	16387.4	Chillingham
191	16382.7	Chillingham
192	16516.8	Chillingham
193	16567.4	Chillingham
194	16618.5	Chillingham
195	16497.2	Chillingham
196	16242.3	Chillingham
197	16093.2	Chillingham
198	15890.1	Chillingham
199	15854.4	Chillingham
200	15822.1	Chillingham
1	28.7559	swedish_modern
2	28.7559	swedish_modern
3	28.7559	swedish_modern
4	28.7559	swedish_modern
5	5538.68	swedish_modern
6	5538.68	swedish_modern
7	5538.68	swedish_modern
8	5538.68	swedish_modern
9	6022.05	swedish_modern
10	6188.25	swedish_modern
11	6186.4	swedish_modern
12	6184.66	swedish_modern
13	6345.1	swedish_modern
14	6526.34	swedish_modern
15	6595.81	swedish_modern
16	6689.59	swedish_modern
17	6876.56	swedish_modern
18	7091.71	swedish_modern
19	7077.7	swedish_modern
20	7010.29	swedish_modern
21	6950.29	swedish_modern
22	6763.75	swedish_modern
23	6757.66	swedish_modern
24	6670.42	swedish_modern
25	6596.4	swedish_modern
26	6536.2	swedish_modern
27	6459.05	swedish_modern
28	6255.46	swedish_modern
29	6034.57	swedish_modern
30	5925.09	swedish_modern
31	5746.47	swedish_modern
32	5708.7	swedish_modern
33	5579.09	swedish_modern
34	5437.46	swedish_modern
35	5283.72	swedish_modern
36	4949.25	swedish_modern
37	4956.49	swedish_modern
38	4884.88	swedish_modern
39	4773.63	swedish_modern
40	4751.2	swedish_modern
41	4733.87	swedish_modern
42	4584.97	swedish_modern
43	4423.75	swedish_modern
44	4398.73	swedish_modern
45	4416.12	swedish_modern
46	4337.67	swedish_modern
47	4052.28	swedish_modern
48	3912.4	swedish_modern
49	3739.83	swedish_modern
50	3623.46	swedish_modern
51	3402.59	swedish_modern
52	3147.38	swedish_modern
53	2997.13	swedish_modern
54	2850.51	swedish_modern
55	2785.07	swedish_modern
56	2778.07	swedish_modern
57	2743.32	swedish_modern
58	2652.88	swedish_modern
59	2558.53	swedish_modern
60	2514.95	swedish_modern
61	2462.86	swedish_modern
62	2425.17	swedish_modern
63	2416.95	swedish_modern
64	2323.1	swedish_modern
65	2288.36	swedish_modern
66	2198.02	swedish_modern
67	2161.07	swedish_modern
68	2147.09	swedish_modern
69	2120.07	swedish_modern
70	2128.51	swedish_modern
71	2219.28	swedish_modern
72	2328.15	swedish_modern
73	2401.67	swedish_modern
74	2392.4	swedish_modern
75	2408.73	swedish_modern
76	2336.14	swedish_modern
77	2292.86	swedish_modern
78	2329.12	swedish_modern
79	2456.52	swedish_modern
80	2596.74	swedish_modern
81	2591.78	swedish_modern
82	2626.42	swedish_modern
83	2647.01	swedish_modern
84	2667.78	swedish_modern
85	2715.5	swedish_modern
86	2761.62	swedish_modern
87	2692.13	swedish_modern
88	2679.91	swedish_modern
89	2621.67	swedish_modern
90	2658.54	swedish_modern
91	2677.5	swedish_modern
92	2680.15	swedish_modern
93	2658.05	swedish_modern
94	2698.15	swedish_modern
95	2744.13	swedish_modern
96	2918.73	swedish_modern
97	2980.54	swedish_modern
98	3009.71	swedish_modern
99	2969.02	swedish_modern
100	2969.05	swedish_modern
101	2985.67	swedish_modern
102	2961.89	swedish_modern
103	2954.21	swedish_modern
104	2973.65	swedish_modern
105	3074.64	swedish_modern
106	3152.99	swedish_modern
107	3212.02	swedish_modern
108	3287.17	swedish_modern
109	3473.12	swedish_modern
110	3775.92	swedish_modern
111	3815.24	swedish_modern
112	3814.79	swedish_modern
113	3789.54	swedish_modern
114	3778.7	swedish_modern
115	3791.31	swedish_modern
116	3814.22	swedish_modern
117	3902.61	swedish_modern
118	3947.37	swedish_modern
119	4068.33	swedish_modern
120	4121.55	swedish_modern
121	4192.04	swedish_modern
122	4219.34	swedish_modern
123	4248.98	swedish_modern
124	4358.26	swedish_modern
125	4455.5	swedish_modern
126	4571.39	swedish_modern
127	4908.91	swedish_modern
128	5264.39	swedish_modern
129	5439.04	swedish_modern
130	5662.18	swedish_modern
131	5820.93	swedish_modern
132	5886.55	swedish_modern
133	6088.23	swedish_modern
134	6255.93	swedish_modern
135	6857.52	swedish_modern
136	7488.08	swedish_modern
137	7935.25	swedish_modern
138	8121.39	swedish_modern
139	8226.86	swedish_modern
140	8351.83	swedish_modern
141	8711.52	swedish_modern
142	9020.12	swedish_modern
143	9264.9	swedish_modern
144	9365.27	swedish_modern
145	9388.22	swedish_modern
146	9613.91	swedish_modern
147	9846.02	swedish_modern
148	9844.96	swedish_modern
149	10066.8	swedish_modern
150	10222.0	swedish_modern
151	10371.4	swedish_modern
152	10557.9	swedish_modern
153	10584.2	swedish_modern
154	10711.5	swedish_modern
155	10832.2	swedish_modern
156	11127.9	swedish_modern
157	11270.7	swedish_modern
158	11743.3	swedish_modern
159	11943.1	swedish_modern
160	12306.5	swedish_modern
161	12884.0	swedish_modern
162	13148.0	swedish_modern
163	13494.5	swedish_modern
164	13693.9	swedish_modern
165	13738.0	swedish_modern
166	13788.4	swedish_modern
167	13842.8	swedish_modern
168	13688.8	swedish_modern
169	13525.7	swedish_modern
170	13491.2	swedish_modern
171	13493.2	swedish_modern
172	13689.5	swedish_modern
173	13999.9	swedish_modern
174	14051.3	swedish_modern
175	13963.1	swedish_modern
176	14569.7	swedish_modern
177	14960.5	swedish_modern
178	15054.8	swedish_modern
179	15442.2	swedish_modern
180	16241.5	swedish_modern
181	17420.1	swedish_modern
182	18565.3	swedish_modern
183	19915.4	swedish_modern
