	SAMEA115481004	SAMEA5577352	SAMEA115481003	SAMEA112769379	SAMEA112769386	SAMEA112769391	SAMEA112769398	SAMEA112769399	SAMEA112769401	SAMEA111531429	SAMEA111531430	SAMEA111531435	SAMEA111531436	SAMEA111531437	SAMEA111531439	SAMEA111531462	SAMEA111531490	SAMEA111531531	SAMEA111531538	SAMEA115112573	SAMEA115112585	SAMEA115112614	SAMEA115112619	SAMEA115112636	SAMEA10833845	SAMEA5159829	SAMEA5159830	IPCC01	IPCC02	IPCC03	IPCC04	IPCC05	IPCC06
SAMEA115481004	0	0.258597	0.258556	0.225065	0.223536	0.221545	0.217902	0.219579	0.221174	0.222717	0.229213	0.227728	0.225673	0.220105	0.227266	0.223621	0.223448	0.224928	0.228394	0.246498	0.227555	0.229013	0.250743	0.223229	0.221244	0.220022	0.22081	0.22121	0.220635	0.22479	0.221735	0.222068	0.22267
SAMEA5577352	0.258597	0	0.183648	0.178115	0.178185	0.177161	0.177275	0.1779	0.17823	0.168593	0.172083	0.178092	0.178216	0.176741	0.177279	0.178023	0.17845	0.178083	0.170424	0.174911	0.178452	0.182971	0.194761	0.179032	0.177454	0.177435	0.178463	0.177026	0.176795	0.176945	0.177287	0.177501	0.177436
SAMEA115481003	0.258556	0.183648	0	0.152021	0.150791	0.150074	0.148876	0.150539	0.151138	0.155735	0.159141	0.151882	0.151843	0.151438	0.153158	0.150629	0.151302	0.15355	0.156929	0.168647	0.153484	0.154621	0.168654	0.150101	0.150197	0.149149	0.150355	0.149959	0.149723	0.14962	0.150316	0.150408	0.150488
SAMEA112769379	0.225065	0.178115	0.152021	0	0.120048	0.118878	0.118914	0.120463	0.121346	0.125411	0.128723	0.120767	0.12202	0.121497	0.119208	0.119892	0.120929	0.123752	0.123761	0.139	0.123318	0.125168	0.136171	0.121522	0.121522	0.11895	0.121112	0.117629	0.117509	0.115648	0.117891	0.118076	0.117684
SAMEA112769386	0.223536	0.178185	0.150791	0.120048	0	0.102416	0.116172	0.117952	0.11764	0.124819	0.128302	0.120023	0.120539	0.120013	0.118319	0.118269	0.119721	0.122981	0.122693	0.138114	0.122808	0.124023	0.134557	0.120026	0.119201	0.117698	0.119794	0.116748	0.116644	0.114464	0.116953	0.11687	0.116641
SAMEA112769391	0.221545	0.177161	0.150074	0.118878	0.102416	0	0.115516	0.116591	0.117945	0.123982	0.127566	0.11869	0.119573	0.119285	0.11717	0.118002	0.11852	0.121619	0.122809	0.137245	0.122057	0.12202	0.133406	0.118615	0.118495	0.117443	0.119242	0.116603	0.116497	0.114614	0.116891	0.116981	0.116617
SAMEA112769398	0.217902	0.177275	0.148876	0.118914	0.116172	0.115516	0	0.0797967	0.08211	0.122505	0.125854	0.116528	0.118113	0.117533	0.114955	0.114943	0.115949	0.120467	0.120431	0.137118	0.119858	0.120421	0.129805	0.116069	0.11568	0.11466	0.115927	0.112174	0.112062	0.109609	0.112094	0.112215	0.111854
SAMEA112769399	0.219579	0.1779	0.150539	0.120463	0.117952	0.116591	0.0797967	0	0.0806436	0.123017	0.126648	0.117986	0.119708	0.118567	0.115831	0.115868	0.1168	0.120863	0.121019	0.137029	0.121001	0.121765	0.131446	0.117405	0.117549	0.115652	0.117228	0.111617	0.111504	0.109165	0.112043	0.111813	0.111578
SAMEA112769401	0.221174	0.17823	0.151138	0.121346	0.11764	0.117945	0.08211	0.0806436	0	0.124173	0.127819	0.118595	0.120233	0.119319	0.116497	0.116355	0.117578	0.121954	0.121508	0.138159	0.121741	0.12298	0.132396	0.117994	0.118246	0.115598	0.117811	0.111083	0.110956	0.108563	0.111359	0.111247	0.110812
SAMEA111531429	0.222717	0.168593	0.155735	0.125411	0.124819	0.123982	0.122505	0.123017	0.124173	0	0.12384	0.121247	0.122853	0.122578	0.118986	0.122664	0.123876	0.123844	0.046964	0.13279	0.123695	0.127731	0.138465	0.124741	0.122787	0.121997	0.123996	0.120043	0.119915	0.117576	0.12019	0.120113	0.119813
